mes_disp,uf,enquadramento,sum,count
202005,PI,CADUNICO,116105400.0,177418
202005,PI,EXTRACAD,250125000.0,391250
202005,PR,BOLSA FAMILIA,383786400.0,486346
202005,PR,CADUNICO,417127800.0,627987
202005,PR,EXTRACAD,1059497400.0,1613860
202005,RJ,BOLSA FAMILIA,993148800.0,1175380
202005,RJ,CADUNICO,406524000.0,587326
202005,RJ,EXTRACAD,2002125000.0,3031707
202005,RN,BOLSA FAMILIA,398546400.0,522370
202005,RN,CADUNICO,137749200.0,211973
202005,RN,EXTRACAD,285115200.0,434741
202005,RO,BOLSA FAMILIA,90736200.0,113703
202005,RO,CADUNICO,81385200.0,122797
202005,RO,EXTRACAD,191769600.0,285645
202005,RR,BOLSA FAMILIA,55807200.0,71142
202005,RR,CADUNICO,25377600.0,36409
202005,RR,EXTRACAD,62698800.0,92550
202005,RS,BOLSA FAMILIA,361144200.0,433990
202005,RS,CADUNICO,241675800.0,353852
202005,RS,EXTRACAD,963955200.0,1435467
202005,SC,BOLSA FAMILIA,122253000.0,152736
202005,SC,CADUNICO,118825800.0,174636
202005,SC,EXTRACAD,685789800.0,1020377
202005,SE,BOLSA FAMILIA,303489000.0,383878
202005,SE,CADUNICO,92547600.0,139049
202005,SE,EXTRACAD,180313800.0,279648
202005,SP,BOLSA FAMILIA,1615336800.0,1935730
202005,SP,CADUNICO,1226241000.0,1785437
202005,SP,EXTRACAD,4594109400.0,6975436
202005,TO,BOLSA FAMILIA,128492400.0,165332
202005,TO,CADUNICO,79230600.0,121310
202005,TO,EXTRACAD,127275600.0,195589
202006,AC,BOLSA FAMILIA,104766000.0,140807
202006,AC,CADUNICO,7888800.0,11715
202006,AC,EXTRACAD,36979200.0,56726
202006,AL,BOLSA FAMILIA,440917800.0,554880
202006,AL,CADUNICO,35061000.0,52594
202006,AL,EXTRACAD,122685600.0,188490
202006,AM,BOLSA FAMILIA,469507200.0,595307
202006,AM,CADUNICO,39821400.0,57949
202006,AM,EXTRACAD,199837800.0,302358
202006,AP,BOLSA FAMILIA,90505800.0,105549
202006,AP,CADUNICO,10369800.0,14399
202006,AP,EXTRACAD,42534000.0,63966
202006,BA,BOLSA FAMILIA,1984627800.0,2597951
202006,BA,CADUNICO,189569400.0,287486
202006,BA,EXTRACAD,563773200.0,874248
202006,CE,BOLSA FAMILIA,1198966200.0,1582917
202006,CE,CADUNICO,122698800.0,188442
202006,CE,EXTRACAD,316888200.0,492918
202006,DF,BOLSA FAMILIA,88202400.0,101072
202006,DF,CADUNICO,12682200.0,17901
202006,DF,EXTRACAD,164871000.0,245758
202006,ES,BOLSA FAMILIA,206826600.0,263513
202006,ES,CADUNICO,45845400.0,70001
202006,ES,EXTRACAD,218099400.0,335179
202006,GO,BOLSA FAMILIA,324394800.0,382040
202006,GO,CADUNICO,74848800.0,110063
202006,GO,EXTRACAD,398845200.0,605510
202006,MA,BOLSA FAMILIA,1062220200.0,1344514
202006,MA,CADUNICO,69481800.0,104544
202006,MA,EXTRACAD,224892600.0,353275
202006,MG,BOLSA FAMILIA,1118393400.0,1437301
202006,MG,CADUNICO,225562800.0,343178
202006,MG,EXTRACAD,983842800.0,1523176
202006,MS,BOLSA FAMILIA,132945000.0,159796
