mes_ref,uf,valor_bolsa_familia,valor_cadunico,valor_extracad,qtd_bolsa_familia,qtd_cadunico,qtd_extracad,total_forca_trabalho,forca_trabalho_descoupada,forca_conta_propria,forca_privado,forca_publico,forca_empregador,forca_domestico,forca_auxiliar
202006,CE,1198966200.0,122698800.0,316888200.0,1582917,188442,492918,3601,443,923,1357,507,122,169,80
202006,DF,88202400.0,12682200.0,164871000.0,101072,17901,245758,1552,242,245,642,285,52,78,7
202006,ES,206826600.0,45845400.0,218099400.0,263513,70001,335179,2022,255,441,827,253,95,86,65
202006,GO,324394800.0,74848800.0,398845200.0,382040,110063,605510,3511,456,759,1537,385,148,198,29
202006,MA,1062220200.0,69481800.0,224892600.0,1344514,104544,353275,2376,391,626,765,357,52,114,69
202006,MG,1118393400.0,225562800.0,983842800.0,1437301,343178,1523176,10507,1385,2112,4532,1231,450,570,226
202006,MS,132945000.0,38986800.0,133501800.0,159796,57712,200412,1327,155,280,545,188,63,83,14
202006,MT,167102400.0,47516400.0,185146200.0,196359,69983,276372,1779,182,421,755,204,86,105,26
202006,PA,1085665200.0,107502600.0,343984800.0,1375419,160092,529915,3546,330,1028,1178,548,125,149,188
202006,PB,559593600.0,42651000.0,138472200.0,739564,65061,217060,1483,196,437,452,246,55,71,25
202006,PE,1240916400.0,118513200.0,355451400.0,1565550,178345,549922,3593,552,847,1395,489,111,147,52
202006,PI,492470400.0,36342600.0,114571200.0,657447,55610,178941,1213,162,301,386,189,41,77,58
202006,PR,384610200.0,130071600.0,555356400.0,487288,195898,850138,5999,577,1344,2663,726,304,274,112
202006,RJ,996622800.0,132397800.0,1029660600.0,1179214,191057,1566140,8050,1349,1784,3154,1161,235,350,16
202006,RN,399190800.0,44122200.0,132908400.0,523175,67917,203094,1366,209,286,497,251,49,53,21
202006,RO,91026600.0,25174800.0,97844400.0,114043,37955,146685,823,91,225,288,122,21,28,47
202006,RR,56108400.0,7747800.0,34746000.0,71530,11141,51574,229,39,53,62,53,6,12,4
202006,RS,362673000.0,76217400.0,505378200.0,435876,111640,758971,5806,562,1347,2533,681,269,253,162
202006,SC,122535600.0,37164600.0,361965600.0,153051,54702,542859,3813,275,811,1926,399,190,140,71
202006,SE,303901800.0,29270400.0,81582600.0,384273,44015,126250,1006,205,225,345,127,37,50,17
202006,SP,1617167400.0,393096000.0,2364760200.0,1937308,572262,3601915,23318,3247,4400,11341,2031,1078,1062,160
202006,TO,128770800.0,22819200.0,57412800.0,165642,34949,88000,691,88,145,225,133,31,52,17
202007,AC,104402400.0,24691800.0,81500400.0,140444,36662,124701,334,58,81,92,74,8,11,11
202007,AL,440793600.0,110665200.0,284550000.0,555049,165773,436446,1124,228,232,379,179,22,52,31
202007,AM,468370200.0,123634200.0,431610000.0,594214,179698,652091,1839,310,508,513,257,33,59,159
202007,AP,90600600.0,33207000.0,97725000.0,105710,46074,146578,353,54,107,91,80,6,10,5
202007,BA,1971532800.0,573756000.0,1274056800.0,2582209,870258,1975832,6246,1321,1416,2140,750,175,249,195
202007,CE,1193693400.0,371486400.0,714193200.0,1576743,570526,1109694,3612,515,922,1345,443,111,178,99
202007,DF,88061400.0,40176000.0,352549800.0,100981,56522,523493,1581,248,273,608,319,58,67,8
202007,ES,206327400.0,140636400.0,446274600.0,263067,214946,682350,2086,296,477,819,239,81,87,89
202007,GO,322652400.0,240714000.0,851095800.0,380406,354152,1287960,3541,479,776,1514,413,146,192,22
202007,MA,1033197600.0,229561800.0,535276800.0,1309522,345480,840225,2410,417,664,752,343,56,121,55
202007,MG,1114752600.0,707818800.0,2070539400.0,1433580,1077373,3196741,10605,1443,2177,4557,1191,430,578,228
202007,MS,132504000.0,120041400.0,278088000.0,159440,177863,415913,1329,157,266,555,184,68,86,13
202007,MT,167106600.0,151602000.0,395446200.0,196528,223706,588285,1780,181,438,754,209,72,92,34
202007,PA,1087339800.0,350195400.0,794736000.0,1378090,521296,1222032,3706,413,1041,1258,469,126,189,211
202007,PB,553589400.0,129108600.0,311695200.0,732243,196895,487974,1514,262,386,467,263,46,66,25
202007,PE,1236856200.0,364411200.0,814873800.0,1561087,547533,1261536,3678,709,859,1388,405,118,147,52
202007,PI,492100200.0,114281400.0,262098600.0,657180,174529,409354,1319,174,345,422,189,39,79,70
202007,PR,382908000.0,407117400.0,1137112200.0,485472,612858,1733676,5851,617,1324,2609,649,288,250,114
202007,RJ,991880400.0,398010600.0,2181889200.0,1174443,574602,3305707,8104,1567,1748,3081,1066,244,374,25
202007,RN,396436800.0,133853400.0,298426200.0,519820,205972,454937,1405,251,312,497,214,47,67,17
202007,RO,90844800.0,80348400.0,205879800.0,113892,121194,306898,816,96,229,296,109,18,31,37
202007,RR,55911600.0,24767400.0,70994400.0,71322,35521,104774,236,45,56,62,51,5,14,4
202007,RS,361975800.0,240021000.0,1081810200.0,435379,351396,1618657,5711,601,1310,2465,644,278,257,158
202007,SC,121837800.0,117154800.0,745438200.0,152302,172171,1111192,3784,253,861,1880,385,192,121,93
202007,SE,302658600.0,89810400.0,187918200.0,382873,134898,290891,990,206,219,350,119,32,40,24
202007,SP,1610820000.0,1210102200.0,4952700600.0,1931161,1761778,7525076,23411,3613,4320,11245,2041,1073,958,161
202007,TO,127591200.0,77339400.0,133771200.0,164328,118475,205205,671,84,151,213,133,29,42,18
202008,AC,99909600.0,18864000.0,69784200.0,133045,28062,106926,334,58,81,92,74,8,11,11
202008,AL,431767800.0,82594800.0,238027200.0,540356,123581,365482,1124,228,232,379,179,22,52,31
202008,AM,450745200.0,95312400.0,378625200.0,565576,138672,572485,1839,310,508,513,257,33,59,159
202008,AP,88419000.0,25391400.0,83184600.0,102238,35226,124855,353,54,107,91,80,6,10,5
202008,BA,1924410000.0,426321600.0,1066597800.0,2504370,646567,1653002,6246,1321,1416,2140,750,175,249,195
202008,CE,1174702200.0,276274200.0,599857800.0,1545379,424409,931625,3612,515,922,1345,443,111,178,99
202008,DF,87798600.0,31052400.0,311707200.0,100330,43763,463284,1581,248,273,608,319,58,67,8
202008,ES,204889200.0,104640600.0,390678000.0,260481,159971,598079,2086,296,477,819,239,81,87,89
202008,GO,317112000.0,183141600.0,749986800.0,370928,269515,1135582,3541,479,776,1514,413,146,192,22
202008,MA,998717400.0,175954800.0,463809600.0,1252474,264898,728526,2410,417,664,752,343,56,121,55
202008,MG,1097656800.0,528922800.0,1811054400.0,1403951,805108,2796408,10605,1443,2177,4557,1191,430,578,228
202008,MS,130668600.0,93505200.0,246090600.0,155995,138896,368736,1329,157,266,555,184,68,86,13
202008,MT,164104800.0,114582600.0,345592200.0,191431,169298,514901,1780,181,438,754,209,72,92,34
202008,PA,1055632800.0,269736600.0,686817000.0,1325512,401782,1056758,3706,413,1041,1258,469,126,189,211
202008,PB,541562400.0,95748000.0,260230800.0,712334,146003,407156,1514,262,386,467,263,46,66,25
202008,PE,1221394800.0,274220400.0,681550200.0,1533288,412290,1054245,3678,709,859,1388,405,118,147,52
202008,PI,479277600.0,86888400.0,223255200.0,636163,132713,348695,1319,174,345,422,189,39,79,70
202008,PR,379972200.0,306979800.0,1010568600.0,479706,462361,1541387,5851,617,1324,2609,649,288,250,114
202008,RJ,979500000.0,301766400.0,1878740980.0,1153874,436067,2848739,8104,1567,1748,3081,1066,244,374,25
202008,RN,391543200.0,100134000.0,251818800.0,511771,154137,383903,1405,251,312,497,214,47,67,17
202008,RO,89239800.0,61338600.0,181540800.0,111222,92567,271098,816,96,229,296,109,18,31,37
202008,RR,53298000.0,19686000.0,64555200.0,67406,28307,95635,236,45,56,62,51,5,14,4
202008,RS,373179600.0,188119800.0,959350200.0,449375,276550,1435395,5711,601,1310,2465,644,278,257,158
202008,SC,123360600.0,89007600.0,667146600.0,153945,130911,995296,3784,253,861,1880,385,192,121,93
202008,SE,297532200.0,66653400.0,156782400.0,374404,100087,242569,990,206,219,350,119,32,40,24
202008,SP,1601157000.0,905803800.0,4346784000.0,1911456,1318791,6603665,23411,3613,4320,11245,2041,1073,958,161
202008,TO,124249200.0,59650200.0,116269200.0,158855,91394,178473,671,84,151,213,133,29,42,18
202009,AC,24825887.0,22441800.0,86050500.0,111318,34558,134709,334,58,81,92,74,8,11,11
202009,AL,127452786.0,97080000.0,289814100.0,477682,151144,455809,1124,228,232,379,179,22,52,31
202009,AM,126329704.0,112297800.0,467126100.0,485992,169740,722223,1839,310,508,513,257,33,59,159
202009,AP,24392359.0,30177000.0,102173400.0,85680,43426,157232,353,54,107,91,80,6,10,5
202009,BA,582246835.0,520605000.0,1333019100.0,2254972,821067,2117648,6246,1321,1416,2140,750,175,249,195
202009,CE,359977727.0,340215000.0,753296400.0,1407733,543722,1199163,3612,515,922,1345,443,111,178,99
